n_proc,avg_bt,var_bt,avg_at,avg_pr,time_quantum,best_algo
7,9.428571428571429,15.959183673469386,8.571428571428571,1.8571428571428572,1,SJF_P
6,12.0,23.666666666666668,11.166666666666666,4.0,4,SJF_P
7,11.714285714285714,15.346938775510205,9.857142857142858,3.142857142857143,3,SJF_P
12,8.333333333333334,29.222222222222225,10.333333333333334,3.5833333333333335,4,SJF_P
10,13.5,25.85,9.6,3.3,3,SJF_P
7,9.428571428571429,46.816326530612244,12.285714285714286,2.2857142857142856,2,SJF_P
5,13.2,42.160000000000004,9.0,2.4,1,SJF_P
10,10.0,29.2,5.2,2.9,3,SJF_P
8,13.625,29.234375,10.125,2.625,3,SJF_P
4,9.75,36.6875,13.0,2.25,1,SJF_P
9,10.555555555555555,37.58024691358025,7.777777777777778,3.2222222222222223,3,SJF_P
6,9.833333333333334,20.13888888888889,7.0,4.333333333333333,1,SJF_P
9,8.0,20.0,9.444444444444445,3.4444444444444446,2,SJF_P
11,9.818181818181818,26.14876033057851,6.363636363636363,3.1818181818181817,4,SJF_P
7,11.0,31.428571428571427,9.857142857142858,3.0,3,SJF_P
6,9.0,38.666666666666664,9.833333333333334,2.6666666666666665,1,SJF_P
8,9.5,23.5,9.375,2.875,2,SJF_P
8,10.5,32.75,10.375,3.375,2,SJF_P
10,11.3,7.409999999999999,10.9,3.3,2,SJF_P
8,9.125,30.609375,9.125,4.25,4,SJF_P
8,10.75,29.9375,11.125,3.375,3,SJF_P
9,8.444444444444445,48.91358024691358,11.666666666666666,2.888888888888889,4,SJF_P
11,12.363636363636363,29.32231404958678,12.0,3.5454545454545454,1,SJF_P
5,13.6,28.240000000000002,7.8,3.4,1,SJF_NP
4,9.0,9.0,3.5,4.0,2,SJF_NP
7,9.428571428571429,50.53061224489796,6.857142857142857,3.0,4,SJF_P
8,9.625,42.484375,10.875,3.125,4,SJF_P
8,10.375,29.984375,9.0,3.375,1,SJF_NP
7,5.285714285714286,31.061224489795922,7.142857142857143,3.0,3,SJF_P
8,6.5,16.5,10.875,2.375,3,SJF_P
7,12.857142857142858,11.26530612244898,7.285714285714286,3.142857142857143,2,SJF_NP
9,11.0,61.333333333333336,10.333333333333334,3.111111111111111,3,SJF_P
7,12.285714285714286,29.061224489795922,9.285714285714286,4.142857142857143,3,SJF_P
12,8.416666666666666,25.243055555555557,7.25,3.5,4,SJF_P
8,9.0,32.25,11.375,2.125,2,SJF_P
6,13.0,30.333333333333332,9.666666666666666,3.8333333333333335,1,SJF_P
5,9.6,48.24,9.6,2.2,3,SJF_P
8,15.25,16.9375,9.5,2.375,4,SJF_P
7,12.0,61.42857142857143,12.0,2.4285714285714284,4,SJF_P
4,12.0,45.5,8.75,2.0,2,PRIO_NP
9,12.333333333333334,20.444444444444443,6.222222222222222,2.4444444444444446,4,SJF_P
5,8.6,30.640000000000004,6.4,2.2,1,SJF_P
10,7.9,32.89,11.2,3.4,3,SJF_P
11,7.818181818181818,30.876033057851238,12.454545454545455,3.5454545454545454,3,SJF_P
12,11.916666666666666,19.743055555555554,10.25,2.5,4,SJF_P
11,12.181818181818182,48.33057851239669,9.818181818181818,3.0,3,SJF_P
11,7.7272727272727275,26.56198347107438,8.818181818181818,3.1818181818181817,2,SJF_P
12,5.416666666666667,17.743055555555554,9.666666666666666,2.8333333333333335,4,SJF_P
7,8.571428571428571,26.53061224489796,8.142857142857142,3.142857142857143,2,SJF_P
7,4.714285714285714,20.20408163265306,10.142857142857142,4.142857142857143,2,SJF_P
7,9.285714285714286,29.632653061224488,9.714285714285714,4.428571428571429,2,SJF_P
4,12.75,39.6875,11.75,4.0,1,SJF_P
6,10.833333333333334,7.472222222222221,11.833333333333334,2.8333333333333335,3,SJF_P
11,10.909090909090908,24.446280991735538,5.454545454545454,3.5454545454545454,4,SJF_P
7,12.0,31.428571428571427,11.142857142857142,3.4285714285714284,2,SJF_P
10,11.1,58.29,10.7,3.2,4,SJF_P
5,6.8,28.159999999999997,17.2,3.8,3,SJF_P
12,11.583333333333334,29.409722222222225,8.833333333333334,2.6666666666666665,2,SJF_P
9,12.88888888888889,34.32098765432099,12.11111111111111,3.0,4,SJF_P
4,10.75,49.6875,6.25,2.5,1,SJF_P
4,12.75,52.1875,8.75,2.5,3,SJF_P
7,10.0,25.142857142857142,8.857142857142858,2.142857142857143,1,SJF_P
7,12.0,26.0,8.285714285714286,3.5714285714285716,4,SJF_P
6,10.5,28.583333333333332,8.666666666666666,3.1666666666666665,3,SJF_P
7,11.142857142857142,25.26530612244898,10.285714285714286,3.4285714285714284,4,SJF_P
8,12.125,22.359375,8.375,2.125,4,SJF_P
12,11.25,32.354166666666664,11.0,3.0833333333333335,1,SJF_P
12,10.916666666666666,26.743055555555557,9.916666666666666,4.0,4,SJF_P
4,13.0,52.5,7.25,2.5,3,SJF_P
5,10.2,26.96,8.4,3.6,1,SJF_P
6,6.333333333333333,31.88888888888889,8.333333333333334,2.5,1,SJF_P
9,8.333333333333334,26.22222222222222,8.333333333333334,3.7777777777777777,3,SJF_P
11,11.0,20.0,7.363636363636363,3.272727272727273,3,SJF_P
8,9.125,30.359375,11.5,3.0,1,SJF_P
5,12.6,27.04,9.6,2.8,2,SJF_P
5,9.4,26.24,11.8,2.0,4,SJF_NP
12,12.75,27.020833333333332,9.833333333333334,2.0833333333333335,4,SJF_P
10,11.0,31.2,6.7,2.7,2,SJF_P
10,10.6,19.240000000000002,15.0,3.2,1,SJF_P
12,12.416666666666666,20.07638888888889,10.416666666666666,2.9166666666666665,3,SJF_P
11,10.272727272727273,25.289256198347108,12.636363636363637,3.4545454545454546,4,SJF_NP
5,9.6,37.040000000000006,13.0,2.0,2,SJF_NP
9,10.222222222222221,61.72839506172839,9.222222222222221,2.888888888888889,2,SJF_P
4,9.75,22.6875,13.0,3.25,1,SJF_P
6,13.833333333333334,10.13888888888889,13.0,2.3333333333333335,3,SJF_P
4,8.25,3.6875,8.0,3.5,1,SJF_P
5,13.8,50.96,11.4,3.2,2,SJF_P
6,8.333333333333334,34.55555555555556,13.5,2.6666666666666665,1,SJF_P
8,10.75,20.4375,10.5,3.625,1,SJF_P
9,13.777777777777779,36.617283950617285,7.555555555555555,3.111111111111111,1,SJF_NP
12,12.083333333333334,19.57638888888889,10.083333333333334,3.0,3,SJF_P
4,13.75,26.1875,4.25,3.25,4,SJF_P
10,10.3,31.810000000000002,9.5,2.2,1,SJF_P
6,7.0,11.333333333333334,12.5,2.3333333333333335,1,SJF_P
4,12.0,13.5,7.75,4.25,3,SJF_NP
11,11.909090909090908,38.082644628099175,6.090909090909091,2.4545454545454546,3,SJF_P
6,7.5,33.583333333333336,9.666666666666666,3.1666666666666665,4,SJF_P
9,9.333333333333334,22.0,8.777777777777779,3.2222222222222223,4,SJF_P
8,10.25,30.6875,12.5,4.125,4,SJF_P
9,9.0,36.666666666666664,8.333333333333334,2.6666666666666665,3,SJF_P
6,9.666666666666666,31.88888888888889,10.333333333333334,4.0,2,SJF_P
11,10.545454545454545,30.429752066115704,12.0,3.090909090909091,2,SJF_P
5,14.2,7.76,12.0,2.6,1,SJF_P
9,12.333333333333334,23.77777777777778,14.666666666666666,3.0,4,SJF_P
10,11.4,26.04,9.5,3.6,1,SJF_P
7,9.0,28.571428571428573,10.714285714285714,2.7142857142857144,3,SJF_P
6,7.166666666666667,16.47222222222222,12.333333333333334,2.3333333333333335,1,SJF_P
10,9.9,26.29,13.7,3.3,2,SJF_P
6,11.0,32.333333333333336,12.0,3.0,2,SJF_P
4,10.25,4.6875,9.0,3.0,4,RR
7,13.0,40.0,10.857142857142858,3.0,3,SJF_P
6,8.333333333333334,38.888888888888886,9.166666666666666,2.8333333333333335,3,SJF_P
12,8.416666666666666,25.409722222222218,6.083333333333333,3.5,1,SJF_P
10,12.6,42.84,9.6,3.2,2,SJF_P
8,12.25,16.6875,7.5,3.75,2,SJF_NP
8,12.625,24.734375,12.375,2.625,4,SJF_NP
12,11.0,36.5,10.583333333333334,2.75,4,SJF_P
7,8.0,17.714285714285715,9.857142857142858,2.857142857142857,3,SJF_NP
6,9.833333333333334,31.138888888888886,5.833333333333333,2.8333333333333335,2,SJF_P
4,11.0,40.0,6.0,2.75,4,SJF_NP
9,11.777777777777779,36.172839506172835,10.11111111111111,3.0,4,SJF_P
11,10.363636363636363,37.1404958677686,10.636363636363637,2.3636363636363638,1,SJF_P
9,12.444444444444445,25.80246913580247,9.555555555555555,2.3333333333333335,4,SJF_P
4,12.25,1.1875,6.25,3.5,2,SJF_NP
8,9.375,45.484375,10.0,2.875,3,SJF_P
12,8.333333333333334,45.22222222222222,7.75,3.25,3,SJF_P
10,9.3,36.81,7.2,2.7,2,SJF_P
9,12.333333333333334,30.444444444444443,10.777777777777779,3.5555555555555554,1,SJF_P
8,12.375,23.484375,9.0,3.875,2,SJF_P
10,11.0,38.6,10.5,2.4,4,SJF_P
5,7.8,35.36,6.0,3.2,4,SJF_P
6,6.166666666666667,23.805555555555554,11.5,3.0,4,RR
11,9.727272727272727,31.65289256198347,10.727272727272727,2.909090909090909,4,SJF_P
5,9.8,37.760000000000005,10.6,4.2,1,SJF_P
9,7.777777777777778,41.95061728395061,9.222222222222221,3.4444444444444446,4,SJF_P
6,8.166666666666666,29.13888888888889,12.166666666666666,3.0,3,RR
4,17.25,5.1875,9.25,1.0,1,SJF_P
11,12.0,20.90909090909091,6.545454545454546,2.8181818181818183,2,SJF_P
12,8.833333333333334,23.63888888888889,11.25,3.75,1,SJF_NP
7,10.857142857142858,18.69387755102041,14.571428571428571,2.4285714285714284,1,SJF_NP
5,9.0,73.6,4.4,3.6,1,SJF_P
8,7.75,30.9375,9.875,3.625,1,SJF_NP
7,9.857142857142858,30.122448979591837,10.428571428571429,3.7142857142857144,2,SJF_P
5,9.2,10.959999999999999,10.6,2.8,3,SJF_P
4,12.0,31.5,6.5,2.0,1,SJF_P
6,14.833333333333334,9.805555555555555,8.666666666666666,4.5,2,SJF_NP
9,8.333333333333334,22.0,6.222222222222222,2.7777777777777777,1,SJF_NP
8,13.25,22.4375,10.125,3.75,1,SJF_P
10,9.2,36.160000000000004,10.5,2.2,2,SJF_P
10,9.0,37.8,11.9,3.2,3,SJF_P
12,11.666666666666666,33.55555555555556,8.583333333333334,3.25,4,SJF_P
5,5.6,29.04,11.8,2.6,2,RR
5,16.6,6.640000000000001,9.6,3.2,2,SJF_P
12,10.916666666666666,27.409722222222225,9.916666666666666,2.4166666666666665,3,SJF_P
9,10.0,24.22222222222222,10.333333333333334,3.4444444444444446,1,SJF_P
9,11.555555555555555,26.246913580246915,9.666666666666666,3.0,3,SJF_P
10,10.1,37.29,10.8,3.2,4,SJF_P
10,9.6,33.64,11.4,2.7,4,SJF_P
